Timestamp,Load1,Load5,Load15,MemoryUsed,MemoryTotal,DiskUsed,DiskTotal
2024-10-30T22:18:10+10:00,0.770000,0.740000,0.630000,2.6,31.2,10.5,222.6
2024-10-30T22:18:25+10:00,0.900000,0.770000,0.640000,2.6,31.2,10.5,222.6
2024-10-30T22:18:40+10:00,0.770000,0.750000,0.640000,2.6,31.2,10.5,222.6
2024-10-30T22:18:55+10:00,0.750000,0.740000,0.640000,2.6,31.2,10.5,222.6
2024-10-30T22:19:10+10:00,0.580000,0.700000,0.630000,2.6,31.2,10.5,222.6
